Node	CF	CN	CR	C^	Cr	C~
0	19621	28543	63218	5720	999	2722
1	24288	30979	72071	6794	1233	2811
10	53353	79372	169181	17106	2433	6576
100	33861	27098	87653	4720	537	1174
1000	2839	2410	7131	206	17	54
1001	9848	11321	33785	810	154	305
1002	27100	45833	73974	9612	1087	4519
1003	49035	40776	91144	6627	607	3045
1004	7863	16350	19872	2341	72	2284
1005	71276	82611	150010	15439	1559	5990
1006	27639	39297	66445	9731	1320	3365
1007	23326	20123	42905	2745	676	967
1008	12561	11728	33650	1840	574	305
1009	56832	43902	92289	7282	948	3222
101	34208	32971	77877	4709	1066	1186
1010	46408	22042	58681	1954	593	793
1011	8833	9881	28362	1625	718	237
1012	10816	13383	32731	2297	177	871
1013	12537	12334	29283	2255	218	1039
1014	18779	6944	42526	358	139	29
1015	6536	8553	19575	1793	160	1250
1016	101515	93177	181934	16434	1861	4138
1017	18846	33541	51945	6766	820	3669
1018	11662	15312	35164	2301	328	1525
1019	44524	50469	77706	9141	450	3837
102	30206	35536	82352	8304	1088	2075
1020	17532	12012	23854	1194	41	639
1021	30562	29194	68248	4644	754	1297
1022	25325	37757	60598	5568	488	3856
1023	47338	41615	78120	7182	905	2839
1024	11033	24168	34303	4348	550	2957
1025	14325	20341	28013	2726	182	2669
1026	63567	52721	136700	4960	978	1935
1027	115728	95801	189433	8278	553	3456
1028	52623	36464	83020	4742	1038	1288
1029	11407	20576	38569	4294	433	1938
103	47240	43723	161214	5943	783	1965
1030	17964	17653	45620	2620	164	1977
1031	10324	17860	34712	3631	500	1621
1032	25078	24287	70050	3330	295	2170
1033	22409	50222	71683	10453	1043	5192
1034	52845	31808	69497	4653	747	1353
1035	3244	497	2937	0	0	0
1036	59786	120879	209067	23080	1023	20292
1037	43838	124878	145419	35344	1458	31657
1038	38650	87905	124808	24211	2199	14517
1039	44168	119065	135007	30554	1586	27451
104	1891	1508	6946	41	3	1
1040	44313	109371	167190	23167	1179	20538
1041	10318	22772	42388	7279	823	1641
1042	44522	106967	162693	20468	1162	17957
1043	25438	62757	108764	21671	1176	17270
